1011,Arizona Associates for Reproductive Health,8573 East Princess Drive,Scottsdale,AZ,85255,MT,"Ketan S. Patel, M.D.","Ketan S. Patel, M.D.","Diane G. Hammitt, Ph.D., HCLDELD",480-946-9900,http://www.AzARH.com,N/A,33.6452964,-111.8958885,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1012,Arizona Center for Fertility Studies,8997 E. Desert Cove Ave,Scottsdale,AZ,85260,MT,"Jay S. Nemiro, M.D.","Jay S. Nemiro, M.D.","Robert W. McGaughey, Ph.D.",480-860-4792,http://www.acfs2000.com,DrJSN@ACFS2000.com,33.5852413,-111.886132,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1013,IVF Phoenix,9817 N 95th Street,Scottsdale,AZ,85258,MT,"John L. Couvaras, M.D.","John L. Couvaras, M.D.","John L. Couvaras, M.D.",602-765-2229,http://www.ivfphoenix.com,doc@ivfphoenix.com,33.575614,-111.875567,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1014,Arizona Center for Reproductive Endocrinology and Infertility,5190 East Farness,Tucson,AZ,85712,MT,"Timothy J. Gelety, M.D.","Timothy J. Gelety, M.D.","Bin Wu, Ph.D., HCLD",520-326-0001,http://www.infertility-azctr.com,bwu13@yahoo.com,32.247382,-110.883068,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1015,Reproductive Health Center,4518 East Camp Lowell Drive,Tucson,AZ,85712,MT,"Holly Hutchison, MS","Scot M. Hutchison, M.D.","Steven M. Voelkel, Ph.D., HCLD",520-733-0083,N/A,N/A,32.264566,-110.896454,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1016,Garfield Fertility Center,320 South Garfield Avenue,Alhambra,CA,91801,SP,"Brian Su, M.D.","Brian Su, M.D.","David Hill, Ph.D., HCLDELD",626-943-9536,N/A,N/A,34.091962,-118.124175,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1017,Alta Bates IVF Program,2999 Regent Street,Berkeley,CA,94705,SP,"Ryszard J. Chetkowski, M.D.","Ryszard J. Chetkowski, M.D.","Andras Szell, Ph.D.",510-649-0440,http://www.abivf.com,abivf@pacbell.net,37.855637,-122.2565936,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1018,Beverly Hills Reproductive Fertility Center,9301 Wilshire Blvd,Beverly Hills,CA,90210,SP,"Peyman Saadat, M.D.","Peyman Saadat, M.D.","Jerry L Hall, Ph.D., HCLD",310-278-7590,N/A,heather@reproductivefertility.,34.0673419,-118.394675,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1019,Center for Reproductive Health and Gynecology,99 North La Cienega Boulevard,Beverly Hills,CA,90211,SP,"Sam Najmabadi, M.D.","Sam Najmabadi, M.D.","Sam Najmabadi, M.D.",310-360-7584,http://www.reproductive.org,najmabadi@reproductive.org,34.0673755,-118.3765563,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1020,Southern California Reproductive Center,450 N. Roxbury Dr.,Beverly Hills,CA,90210,SP,"Mark W. Surrey, M.D.","Mark W. Surrey, M.D.","David Hill, Ph.D.",310-277-2393,http://www.scrcivf.com,southerncaliforniareproductive,34.068392,-118.407104,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1021,Central California IVF - Women's Specialty & Fertility Center,722 East Medical Center Drive,Clovis,CA,93611,SP,"H. Michael Synn, M.D.","Carlos E. Sueldo, M.D.","Elisabet Subias, M.S.",559-299-7700,http://www.valleystork.com,N/A,36.841262,-119.659647,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1022,HRC Fertility - Encino,15503 Ventura Blvd,Encino,CA,91436,SP,"David E. Tourgeman, M.D.","Michael A. Feinman, M.D.","David E. Battaglia, Ph.D.",818-788-7288,http://www.havingbabies.com,rogertgood@havingbabies.com,34.1548662,-118.4724725,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1023,"The Fertility Institutes - California, New York",16030 Ventura Boulevard,Encino,CA,91436,SP,"Jeffrey Steinberg, M.D.","Jeffrey Steinberg, M.D.","Sergei V. Eiskov, Ph.D, HCLD/Anil Dubey, Ph.D., HC",818-728-4600,http://www.fertility-docs.com,IVFLAB@fertility-docs.com,34.155723,-118.482452,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1024,Zouves Fertility Center,1241 East Hillsdale Blvd.,Foster City,CA,94404,SP,"Christo G. Zouves, M.D.","Christo G. Zouves, M.D.","Frank L. Barnes, Ph.D., HCLD",650-301-4933,http://www.GoIVF.com,info@GoIVF.com,37.567927,-122.267543,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1026,The Kaiser Permanente Center for Reproductive Health,39141 Civic Center Drive,Fremont,CA,94538,SP,"Dave Newhouse, M.D., MPH","Jon A. Proctor, M.D.","David E. Battaglia, Ph.D., HCLD",510-248-6900,http://www.kpivf.org,deborah.erickson@kp.org,37.554096,-121.976448,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1027,Coastal Fertility Medical Center,4900 Baranca Parkway,Irvine,CA,92604,SP,"Lawrence B. Werlin, M.D.","Lawrence B. Werlin, M.D.","Thomas E. Nass, Ph.D., HCLD",949-726-0600,http://www.coastalfertility.com,info@coastalfertility.com,33.6762126,-117.7958336,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1028,Fertility Center of Southern California,2192 Martin Street,Irvine,CA,92612,SP,"Ilene E. Hatch, M.D.","Ilene E. Hatch, M.D.","Joseph Conaghan, Ph.D.",949-955-0072,N/A,N/A,33.672126,-117.860657,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1029,Huntington Reproductive Center Medical Group,23961 Calle de la Magdalena,Laguna Hills,CA,92653,SP,"Jane L. Frederick, M.D.","Daniel A. Potter, M.D.","Barry R. Behr, Ph.D., HCLD",949-472-9446,N/A,N/A,33.59,-117.696,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1030,Reproductive Partners - UCSD,9850 Genesee Avenue,La Jolla,CA,92037,SP,"V. Gabriel Garzo, M.D.","V. Gabriel Garzo, M.D.","V. Gabriel Garzo, M.D.",858-552-9177,http://www.reproductivepartners.com,reproduce@earthlink.net,32.882894,-117.22631,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1031,Reproductive Sciences Center,4150 Regents Park Row,La Jolla,CA,92037,SP,"Samuel H. Wood, M.D., Ph.D.","Samuel H. Wood, M.D., Ph.D.","Catherine A. Adams, Ph.D., HCLDELD",858-625-0125,http://www.fertile.com,info@fertile.com,32.826,-117.256,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1033,Loma Linda University - Center for Fertility and IVF,11370 Anderson St.,Loma Linda,CA,92354,SP,"Johannah Corselli, Ph.D., HCLD,ELD","John D. Jacobson, M.D.","Johannah Corselli, Ph.D., HCLD, ELD",909-558-2851,http://www.llu.edu/lluhc/fertility,N/A,34.048,-117.25,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1034,California Fertility Partners,11818 Wilshire Boulevard,Los Angeles,CA,90025,SP,"Richard P. Marrs, M.D.","Richard P. Marrs, M.D.","Bronte A. Stone, Ph.D., HCLD",310-828-4008,http://www.lainfertility.com,cfpmail@lainfertility.com,34.047319,-118.463023,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1035,Cedars-Sinai Medical Center,8700 Beverly Blvd,Los Angeles,CA,90048,SP,"Margareta D. Pisarska, M.D.","Margareta D. Pisarska, M.D.","David L. Hill, Ph.D., HCLD",310-423-9964,http://www.csmc.edu/cfrm,april.moore@csmc.edu,34.0766356,-118.3795489,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1036,Comprehensive Health for All Fertility Medical Group Inc,5455 Wilshire Boulevard,Los Angeles,CA,90036,SP,"Vicken P. Sepilian, M.D.","Vicken P. Sepilian, M.D.","Man Li, M.D., Ph.D., HCLD",323-525-3377,N/A,margie@chaivf.com,34.062508,-118.347602,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1037,UCLA Fertility Center,200 Medical Plaza,Los Angeles,CA,90095,SP,"T.C. Jackson Wu, M.D., Ph.D.","T.C. Jackson Wu, M.D., Ph.D.","David L. Hill, Ph.D., HCLD",310-825-9500,N/A,N/A,34.07,-118.444,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1038,USC Fertility,1127 Wilshire Blvd,Los Angeles,CA,90017,SP,"Richard J. Paulson, M.D.","Richard J. Paulson, M.D.","Mary M. Francis, B.S.",213-975-9990,www.USCFertility.org,mail@uscfertility.org,34.054,-118.267,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1039,Fertility and Gynecology Center,9833 Blue Larkspur Lane,Monterey,CA,93940,SP,"Edward J. Ramirez, M.D.","Edward J. Ramirez, M.D.","Lisa Standing, BSELD",831-649-4483,http://www.montereybayivf.com,N/A,36.5715586,-121.8038708,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1040,Newport Fertility Center,20072 SW Birch Street,Newport Beach,CA,92660,SP,"Mark T. Kan, M.D.","Mark T. Kan, M.D.","Mitchel C. Schiewe, Ph.D., HCLD",949-222-1290,N/A,N/A,33.65,-117.872,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1041,Reproductive Specialty Medical Center,1441 Avocado Avenue,Newport Beach,CA,92660,SP,"Beth Anne Ary, M.D.","Beth Anne Ary, M.D.","James Ary, Ph.D., HCLD",949-640-7200,http://www.drary.com,drary@drary.com,33.6134099,-117.8694938,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1042,Southern California Center for Reproductive Medicine,361 Hospital Road,Newport Beach,CA,92663,SP,"Robert E. Anderson, M.D.","Robert E. Anderson, M.D.","Mitchel C. Schiewe, Ph.D., HCLD",949-642-8727,http://www.socalfertility.com,info@socalfertility.com,33.619,-117.919,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1043,NOVA In Vitro Fertilization,1681 El Camino Real,Palo Alto,CA,94306,SP,"Francis Polansky, M.D.","Richard J. Schmidt, M.D.","Eve Shen, M.S.",650-322-0500,http://novaivf.com,nova@novaivf.com,37.418,-122.124,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1044,HRC Fertility - Pasadena,333 S. Arroyo Pkwy,Pasadena,CA,91105,SP,"John G. Wilcox, M.D.","Bradford A. Kolb, M.D.","David E. Battaglia, Ph.D.",626-440-9161,http://www.havingbabies.com,rogertgood@havingbabies.com,34.141,-118.168,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1045,Palo Alto Medical Foundation,3220 Alpine Road,Portola Valley,CA,94028,SP,"Lillian M. Swiersz, M.D.","Lillian M. Swiersz, M.D.","Marina Gvakharia, M.D., Ph.D., HCLD",650-853-2200,N/A,N/A,37.387,-122.209,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1046,Reproductive Partners - Redondo Beach,510 North Prosect,RedondoBeach,CA,90277,SP,"David R. Meldrum, M.D.","Bill Yee, M.D.",D. Meldrum MD/B. Yee MD,310-318-3010,http://www.reproductivepartners.com,reproduce@earthlink.net,33.83,-118.384,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1047,Northern California Fertility Medical Center,1130 Conroy Lane,Roseville,CA,95661,SP,"Janice L. Andreyko, M.D.","Carlos Soto-Albors, M.D.","Kristen A. Ivani, Ph.D., HCLD",916-773-2229,http://www.ncfmc.com,csoto@ncfmc.com,38.742,-121.251,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1048,Kaiser Permanente Center for Reproductive Health Sacramento,1650 Response Road,Sacramento,CA,95815,SP,"Sandy Tschannen, MPA","Kenneth K. Vu, M.D.","Fariba Nehchiri, MSTSELD",916-614-5200,http://www.kpivf.com,sharita.warden@kp.org,38.596304,-121.429696,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1049,UC Davis ART Program,2521 Stockton Boulevard,Sacramento,CA,95817,SP,"Albert K. Wei, M.D., Ph.D.","Albert K. Wei, M.D., Ph.D.","Ping Xia, M.D., Ph.D., HCLD",916-734-6106,http://fertility.ucdmc.ucdavis.edu,N/A,38.552043,-121.455342,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1050,Fertility Specialists Medical Group,8010 Frost Street,San Diego,CA,92123,SP,"Arlene J. Morales, M.D.","Arlene J. Morales, M.D.","Joseph Conaghan, Ph.D., HCLD",858-505-5500,http://www.ivfspecialists.com,arlene.morales@ivfspecialists.,32.801611,-117.151936,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1051,San Diego Fertility Center,11515 El Camino Real,San Diego,CA,92130,SP,"William P. Hummel, M.D.","William P. Hummel, M.D.","L. Michael Kettel, M.D.",858-794-6363,http://www.sdfertility.com,whummel@sdfertility.com,32.9279129,-117.237585,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1052,Laurel Fertility Care,1700 California Street,San Francisco,CA,94109,SP,"Collin B. Smikle, M.D.","Collin B. Smikle, M.D.","Marlane J. Angle, Ph.D., HCLD",415-673-9199,N/A,N/A,37.790537,-122.423093,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1053,Pacific Fertility Center,55 Francisco Street,San Francisco,CA,94133,SP,"Carolyn Givens, M.D.","Philip E. Chenette, M.D.","Joseph Conaghan, Ph.D., HCLDELD",888-834-3095,http://www.infertilitydoctor.com,info@pacificfertility.com,37.8055753,-122.405481,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1054,UCSF Center for Reproductive Health,2356 Sutter Street,San Francisco,CA,94115,SP,"MarcelleI Cedars, M.D.","MarcelleI Cedars, M.D.","Shehua Shen, M.D., ELD",415-353-3040,http://www.ucsfivf.org,info@ucsfivf.org,37.785794,-122.439336,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1055,Fertility Physicians of Northern California,2581 Samaritan Drive,San Jose,CA,95124,SP,"G. David Adamson, M.D.","G. David Adamson, M.D.","Marina Gvakharia, M.D., Ph.D., HCLD",408-358-2500,http://www.fpnc.com,info@fpnc.com,37.252723,-121.950817,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1056,"Alex Steinleitner, M.D., Inc",21 Santa Rosa Street,San Luis Obispo,CA,93405,SP,"Alex Steinleitner, M.D.","Alex Steinleitner, M.D.","David Meldrum, M.D.",805-543-2228,http://www.ccfertility.com,ccfertility@mac.com,35.2931736,-120.6677472,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1057,Reproductive Science Center of the San Francisco Bay Area,3160 Crow Canyon Rd,San Ramon,CA,94583,SP,Sade Salako CPA MBA,"Louis N. Weckstein, M.D","Kristen A. Ivani, Ph.D., HCLD",925-867-1800,http://wwwrscbayarea.com,N/A,37.780221,-121.970485,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1058,"Parker, Rosenman, Rodi Gyn Inf Med Grp",1450 Tenth Street,Santa Monica,CA,90401,SP,"Ingrid A. Rodi, M.D.","Ingrid A. Rodi, M.D.","Richard R. Chacon, BS, ELD",310-451-8144,"http://www,rodimd.com",fertility@prrgyn.com,34.019848,-118.488343,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1059,Advanced Fertility Associates Medical Group Inc,1111 Sonoma Avenue,Santa Rosa,CA,95405,SP,"Jennifer V Ratcliffe, MD, PhD","Jennifer V Ratcliffe, MD, PhD","Jana Hajnovicova ,MS, ELD",707-575-5831,N/A,N/A,38.441845,-122.700034,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1060,The Valley Center for Reproductive Health,13320 Riverside Drive,Sherman Oaks,CA,91423,SP,"Tina Koopersmith, M.D.","Tina Koopersmith, M.D.","David L. Hill, Ph.D., HCLD, ELD",818-986-1648,N/A,drkoop@pacbell.net,34.157309,-118.423225,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1061,Stanford University IVF/ART Program,900 Welch Road,Stanford,CA,94304,SP,"Amin Milki, M.D.","Valerie L. Baker, M.D.","Barry R. Behr, Ph.D., HCLD",650-723-1943,http://www.stanfordivf.com,N/A,37.436651,-122.1782,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1062,Center for Fertility and Gynecology,18370 Burbank Boulevard,Tarzana,CA,91356,SP,Michael Vermesh MD,Michael Vermesh MD,Michael Vermesh MD,818-881-9800,http://www.vermesh.com,paulaclare96@vermesh.com,34.170482,-118.532696,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1063,Tree of Life Center,18370 Burbank Boulevard,Tarzana,CA,91356,SP,"Snunit Ben-Ozer, M.D.","Snunit Ben-Ozer, M.D.","David L. Hill, Ph.D., HCLD, ELD",818-344-8522,http://www.tlcfertility.com,front.tlcfertility@gmail.com,34.170482,-118.532696,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1064,Fertility & Surgical Associates of California,325 Rolling Oaks Drive,Thousand Oaks,CA,91361,SP,"Gary D. Hubert, M.D.","Gary D. Hubert, M.D.","Man Li, M.D., Ph.D., HCLD, ELD",805-778-1122,http://www.fertilityassociates.com,N/A,34.174793,-118.871533,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
1065,Pacific Reproductive Center,3720 Lomita Boulevard,Torrance,CA,90505,SP,"Rifaat D. Salem, M.D., Ph.D.","Rifaat D. Salem, M.D., Ph.D.","Zhihong Yang, DVM, Ph.D.",310-376-7000,http://www.prc-ivf.com,dr.salem@prc-ivf.com,33.814983,-118.349926,"This clinic has not yet provided any information to IVF Reports. If you are a representative of this clinic, please visit the ""Contact Us"" page to find out how to claim your clinic's profile.",http://ivfreports.org/graphics/logosquare.jpg
